1,1,New and notable records of Odonata from Texas,"['Abbott, JC']",SOUTHWESTERN ENTOMOLOGIST,NA,SEP 2005,1,"A dramatic increase in interest in the North American Odonata (dragonfly and damselfly) fauna in the last few years has lead to many new discoveries, particularly in southern areas where subtropical species seem to be expanding their range northward. I report the occurrence of eight Odonata species previously unknown from Texas: Argia oenea Hagen in Selys [Coenagrionidae], Enallagma antennaturn (Say) [Coenagrionidae], Leptobasis melinogaster Gonzales-Soriano [Coenagrionidae], Aeshna persephone Donnelly [Aeshnidae), Anax concolor Bauer [Aeshnidael, Phyllocycla breviphylla Belle [Gomphidae], Erythemis attala (Selys) [Libellulidael, and Erythemis mithroides (Brauer) [Libellulidael. These discoveries include four species previously unknown from the United States and the first occurrence of the genus Leptobasis in the country. Additionally, I discuss recent records of several other species rarely reported from Texas."
1,1,New and notable records of Odonata from Texas,"['Abbott, JC']",SOUTHWESTERN ENTOMOLOGIST,NA,SEP 2005,1,"A dramatic increase in interest in the North American Odonata (dragonfly and damselfly) fauna in the last few years has lead to many new discoveries, particularly in southern areas where subtropical species seem to be expanding their range northward. I report the occurrence of eight Odonata species previously unknown from Texas: Argia oenea Hagen in Selys [Coenagrionidae], Enallagma antennaturn (Say) [Coenagrionidae], Leptobasis melinogaster Gonzales-Soriano [Coenagrionidae], Aeshna persephone Donnelly [Aeshnidae), Anax concolor Bauer [Aeshnidael, Phyllocycla breviphylla Belle [Gomphidae], Erythemis attala (Selys) [Libellulidael, and Erythemis mithroides (Brauer) [Libellulidael. These discoveries include four species previously unknown from the United States and the first occurrence of the genus Leptobasis in the country. Additionally, I discuss recent records of several other species rarely reported from Texas."
1,1,"Description of the larva of Aeshna persephone Donnelly, 1961 (Odonata: Aeshnidae)","['Novelo-Gutierrez, R', 'Tennessen, KJ']",ZOOTAXA,NA,MAY 26 2010,1,The last instar larva of Aeshna persephone is described and compared to the other Aeshna species inhabiting Mexico and the southwestern United States. A key is provided to separate A. persephone from the six other sympatric species of Aeshna. Larvae inhabit roots of riparian herbaceous vegetation in open streams with boulders.
1,1,"Description of the larva of Aeshna persephone Donnelly, 1961 (Odonata: Aeshnidae)","['Novelo-Gutierrez, R', 'Tennessen, KJ']",ZOOTAXA,NA,MAY 26 2010,1,The last instar larva of Aeshna persephone is described and compared to the other Aeshna species inhabiting Mexico and the southwestern United States. A key is provided to separate A. persephone from the six other sympatric species of Aeshna. Larvae inhabit roots of riparian herbaceous vegetation in open streams with boulders.
1,1,"Conservation of White-bellied Heron Ardea insignis (Hume, 1878) habitat in Namdapha National Park, Arunachal Pradesh, India","['Krishna, CM', 'Ray, PC', 'Sarma, K', 'Kumar, A']",CURRENT SCIENCE,NA,APR 25 2012,0,NA
1,1,"Conservation of White-bellied Heron Ardea insignis (Hume, 1878) habitat in Namdapha National Park, Arunachal Pradesh, India","['Krishna, CM', 'Ray, PC', 'Sarma, K', 'Kumar, A']",CURRENT SCIENCE,NA,APR 25 2012,0,NA
1,1,Isotopic Niche Variation in a Higher Trophic Level Ectotherm: Highlighting the Role of Succulent Plants in Desert Food Webs,"['Delibes, M', 'Blazquez, MC', 'Fedriani, JM', 'Granados, A', 'Soriano, L', 'Delgado, A']",PLOS ONE,10.1371/journal.pone.0126814,MAY 14 2015,0,"Stable isotope analysis of animal tissues allows description of isotopic niches, whose axes in an n-dimensional space are the isotopic ratios, compared to a standard, of different isotope systems (e.g. delta C-13, delta N-15). Isotopic niches are informative about where an animal, population or species lives and about what it consumes. Here we describe inter-and intra-population isotopic niche (bidimensional delta C-13-delta N-15 space) of the Orange-throated whiptail (Aspidoscelis hyperythra), an arthropodivorous small lizard, in ten localities of Baja California Sur (Mexico). These localities range from extreme arid to subtropical conditions. Between 13 and 20 individuals were sampled at each locality and 1 cm of tail-tip was collected for isotope analysis. As expected, interpopulation niche width variation was much larger than intrapopulation one. Besides, isotopic variation was not related to age, sex or individual size of lizards. This suggests geographic variation of the isotopic niche was related to changes in the basal resources that fuel the trophic web at each locality. The position of Bayesian isotope ellipses in the delta-space indicated that whiptails in more arid localities were enriched in C-13, suggesting most of the carbon they ingested came from CAM succulent plants (cacti, agaves) and in minor degree in C-4 grasses. Contrarily, whiptails in subtropical areas were depleted in C-13, as they received more carbon from C-3 scrubs and trees. Localities closer to sea-level tended to be enriched in N-15, but a clear influence of marine subsidies was detected only at individual level. The study contributes to identify the origin and pathways through which energy flows across the trophic webs of North American deserts."
1,1,New and notable records of Odonata from Texas,"['Abbott, JC']",SOUTHWESTERN ENTOMOLOGIST,NA,SEP 2005,1,"A dramatic increase in interest in the North American Odonata (dragonfly and damselfly) fauna in the last few years has lead to many new discoveries, particularly in southern areas where subtropical species seem to be expanding their range northward. I report the occurrence of eight Odonata species previously unknown from Texas: Argia oenea Hagen in Selys [Coenagrionidae], Enallagma antennaturn (Say) [Coenagrionidae], Leptobasis melinogaster Gonzales-Soriano [Coenagrionidae], Aeshna persephone Donnelly [Aeshnidae), Anax concolor Bauer [Aeshnidael, Phyllocycla breviphylla Belle [Gomphidae], Erythemis attala (Selys) [Libellulidael, and Erythemis mithroides (Brauer) [Libellulidael. These discoveries include four species previously unknown from the United States and the first occurrence of the genus Leptobasis in the country. Additionally, I discuss recent records of several other species rarely reported from Texas."
1,1,New and notable records of Odonata from Texas,"['', 'Log Out', '简体中文', '繁體中文', '日本語', '한국어', 'Português', 'Español', 'Русский', '', 'Search', ' Return to Search Results ', 'Search History', 'Abbott, JC', 'DRAGONFLIES', 'MEXICO', '24', '1', '\n1 Times Cited\n\t\t\t\t\t', '\n\t\t          24 Cited References\n\t\t        ', 'View Related Records', '\nCreate Citation Alert', 'View All', '\nODONATA OF PLAYAS IN THE SOUTHERN HIGH PLAINS, TEXAS\n']",SOUTHWESTERN ENTOMOLOGIST,NA,SEP 2005,1,"A dramatic increase in interest in the North American Odonata (dragonfly and damselfly) fauna in the last few years has lead to many new discoveries, particularly in southern areas where subtropical species seem to be expanding their range northward. I report the occurrence of eight Odonata species previously unknown from Texas: Argia oenea Hagen in Selys [Coenagrionidae], Enallagma antennaturn (Say) [Coenagrionidae], Leptobasis melinogaster Gonzales-Soriano [Coenagrionidae], Aeshna persephone Donnelly [Aeshnidae), Anax concolor Bauer [Aeshnidael, Phyllocycla breviphylla Belle [Gomphidae], Erythemis attala (Selys) [Libellulidael, and Erythemis mithroides (Brauer) [Libellulidael. These discoveries include four species previously unknown from the United States and the first occurrence of the genus Leptobasis in the country. Additionally, I discuss recent records of several other species rarely reported from Texas."
1,1,"Description of the larva of Aeshna persephone Donnelly, 1961 (Odonata: Aeshnidae)","['Novelo-Gutierrez, R', 'Tennessen, KJ']",ZOOTAXA,NA,MAY 26 2010,1,The last instar larva of Aeshna persephone is described and compared to the other Aeshna species inhabiting Mexico and the southwestern United States. A key is provided to separate A. persephone from the six other sympatric species of Aeshna. Larvae inhabit roots of riparian herbaceous vegetation in open streams with boulders.
